name,url,address,local,rating,reviews_count,stars,price,latitude,longitude,distance_to_local,source,date_updated,name_upper,rating_text,region_name,distance_to_shore,count_rooms,count_photo
База отдыха Цветок под Снегом,https://101hotels.com/main/cities/huzhir/kemping_tsvetok_pod_snegom.html,"Хужир, Peschanaya 19",Хужир,8.9,79.0,0.0,,53.18814,107.33149,1000.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЦВЕТОК ПОД СНЕГОМ,ОТЛИЧНО,,418.0,15,59
LakesideBaikal,https://101hotels.com/main/cities/huzhir/lakesidebaikal.html,"Хужир, Иркутская область, Ольхонский район, деревня Харанцы, ул. Баданская, д. 1",Хужир,9.4,41.0,0.0,,53.22877,107.4245,6700.0,101Hotels,01.03.2023,LAKESIDEBAIKAL,ВЕЛИКОЛЕПНО,,142.0,5,25
База отдыха Villa,https://101hotels.com/main/cities/suhaya/villa_20.html,"Бурятия, Кабанский р-н, с. Сухая, ул. Байкальская, д. 106",Сухая,8.7,15.0,0.0,,52.548663,107.118223,600.0,101Hotels,01.03.2023,БАЗА ОТДЫХА VILLA,ОТЛИЧНО,,678.0,17,25
База отдыха Гэсэр,https://101hotels.com/main/cities/sahyurta/baza_otdiha_geser.html,Сахюрта,Сахюрта,9.4,5.0,0.0,,53.02484050265167,106.86,1400.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ГЭСЭР,ВЕЛИКОЛЕПНО,,352.0,32,0
База отдыха Адмирал (бывшая Дарьяна),https://101hotels.com/main/cities/huzhir/baza_otdiha_daryana_klab.html,"Хужир, ул. Обручева, д. 12",Хужир,9.1,40.0,0.0,,53.1916146554078,107.3459,300.0,101Hotels,01.03.2023,БАЗА ОТДЫХА АДМИРАЛ (БЫВШАЯ ДАРЬЯНА),ВЕЛИКОЛЕПНО,,1100.0,16,43
База отдыха Наратэй,https://101hotels.com/main/cities/sahyurta/baza_otdiha_naratey.html,"Сахюрта, Ольхонский Район / Бухта Радость 3/ Камыши-1",Сахюрта,8.9,36.0,0.0,,53.029228158141336,106.84,2800.0,101Hotels,01.03.2023,БАЗА ОТДЫХА НАРАТЭЙ,ОТЛИЧНО,,267.0,26,18
Юрта у Павла,https://101hotels.com/main/cities/ust-barguzin/yurta_u_pavla.html,Усть-Баргузин,Усть-Баргузин,10.0,2.0,0.0,,53.4273020509924,108.9932,3000.0,101Hotels,01.03.2023,ЮРТА У ПАВЛА,ВЕЛИКОЛЕПНО,,125.0,5,17
База отдыха Култушная,https://101hotels.com/main/cities/posolskoe/baza_otdyha_kultushnaya.html,"Бурятия, Кабанский р-н, ст. Култушная",Посольское,9.3,4.0,0.0,,51.90261451750088,106.125,14500.0,101Hotels,01.03.2023,БАЗА ОТДЫХА КУЛТУШНАЯ,ВЕЛИКОЛЕПНО,,1600.0,17,100
База отдыха Берёзка,https://101hotels.com/main/cities/posolskoe/holiday_club_berezka.html,"Кабанский р-н, Байкальский прибой",Посольское,8.3,7.0,0.0,,51.92069465569033,106.165,11900.0,101Hotels,01.03.2023,БАЗА ОТДЫХА БЕРЁЗКА,ОТЛИЧНО,,3700.0,13,26
База отдыха Энхалук,https://101hotels.com/main/cities/enheluk/baza_otdiha_enhaluk.html,"Энхалук, ул. Лесная, д. 44",Энхалук,9.3,11.0,0.0,,52.4821333652405,106.9638,300.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЭНХАЛУК,ВЕЛИКОЛЕПНО,,257.0,37,74
База отдыха Новая Снежная,https://101hotels.com/main/cities/vidrino/baza_otdykha_novaya_snezhnaya.html,"Иркутская обл., пос. Новосежная, федеральная автодорога М-55, км. 182",Выдрино,8.7,40.0,0.0,,51.3970425827242,104.6473,7000.0,101Hotels,01.03.2023,БАЗА ОТДЫХА НОВАЯ СНЕЖНАЯ,ОТЛИЧНО,,153.0,68,98
База отдыха Зенит,https://101hotels.com/main/cities/posolskoe/baza_otdiha_zenit.html,"Республика Бурятия, Кабанский р-он, пос. Байкальский прибой",Посольское,9.1,5.0,0.0,,51.930632,106.18911,10600.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЗЕНИТ,ВЕЛИКОЛЕПНО,,102.0,30,16
Эко-отель Имение Заречное,https://101hotels.com/main/cities/buguldeyka/baza_otdiha_imenie_zarechnoe.html,"Бугульдейка, ул. Байкальская, д. 24",Бугульдейка,10.0,4.0,0.0,,52.536318,106.059,2500.0,101Hotels,01.03.2023,ЭКО-ОТЕЛЬ ИМЕНИЕ ЗАРЕЧНОЕ,ВЕЛИКОЛЕПНО,,607.0,11,11
Кемпинг Ранчо Лагуна,https://101hotels.com/main/cities/kurma/turbaza_rancho_laguna.html,"Ольхонский р-он, Иркутская обл., дер. Курма",Курма,9.6,4.0,0.0,,53.172257,106.95399,1200.0,101Hotels,01.03.2023,КЕМПИНГ РАНЧО ЛАГУНА,ВЕЛИКОЛЕПНО,,456.0,22,58
База отдыха Золотая Антилопа,https://101hotels.com/main/cities/kurma/baza_otdiha_zolotaya_antilopa.html,"Ольхонский р-он, Оркутская обл., дер. Курма",Курма,9.1,1.0,0.0,,53.180813,106.96851,200.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЗОЛОТАЯ АНТИЛОПА,ВЕЛИКОЛЕПНО,,710.0,8,50
Туристский комплекс Автомобилист,https://101hotels.com/main/cities/posolskoe/turbaza_avtomobilist.html,"Посольское, в 3 км. от станции Байкальский прибой",Посольское,9.3,9.0,0.0,,51.921456,106.16471,11800.0,101Hotels,01.03.2023,ТУРИСТСКИЙ КОМПЛЕКС АВТОМОБИЛИСТ,ВЕЛИКОЛЕПНО,,118.0,18,31
База отдыха Дыхание Байкала,https://101hotels.com/main/cities/sahyurta/baza_otdyha_baikal_breath.html,"Сахюрта, пер. Мира, д. 10",Сахюрта,9.3,2.0,0.0,,53.0226829397385,106.8692,700.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ДЫХАНИЕ БАЙКАЛА,ВЕЛИКОЛЕПНО,,171.0,14,33
База отдыха Куяда на Байкале,https://101hotels.com/main/cities/buguldeyka/baza_otdiha_kuyada_na_baykale.html,"Бугульдейка, ул. Береговая, д. 1",Бугульдейка,9.6,3.0,0.0,,52.557785,106.13457,4100.0,101Hotels,01.03.2023,БАЗА ОТДЫХА КУЯДА НА БАЙКАЛЕ,ВЕЛИКОЛЕПНО,,499.0,19,60
Кемпинг Зара,https://101hotels.com/main/cities/huzhir/kemping_zara.html,"Хужир, ул. Байкальская, д. 60",Хужир,9.4,7.0,0.0,,53.193144,107.34747,300.0,101Hotels,01.03.2023,КЕМПИНГ ЗАРА,ВЕЛИКОЛЕПНО,,1000.0,90,39
Эко-отель Юрточное Кочевье,https://101hotels.com/main/cities/kurma/ekootel_yurtochnoe_kocheve.html,Курма,Курма,10.0,1.0,0.0,,53.16566463295488,106.945,2100.0,101Hotels,01.03.2023,ЭКО-ОТЕЛЬ ЮРТОЧНОЕ КОЧЕВЬЕ,ВЕЛИКОЛЕПНО,,478.0,10,19
База отдыха Байкальская солянка,https://101hotels.com/main/cities/enheluk/baza_otdiha_baykalskaya_solyanka.html,"Энхалук, ул. Лесная, д. 17",Энхалук,,0.0,0.0,,52.483445,106.96827,100.0,101Hotels,01.03.2023,БАЗА ОТДЫХА БАЙКАЛЬСКАЯ СОЛЯНКА,,,432.0,8,22
База отдыха Теремки,https://101hotels.com/main/cities/enheluk/baza_otdiha_baykalskaya_solyanka_1.html,"Энхалук, ул. Солнечная, д. 1",Энхалук,,0.0,0.0,,52.499615,106.99929,2800.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ТЕРЕМКИ,,,433.0,7,25
База отдыха Байкал-Лидер,https://101hotels.com/main/cities/maksimiha/baza_otdiha_baykal-lider.html,"Максимиха, ул. Баргузинская, д. 1Б",Максимиха,,0.0,0.0,,53.266624,108.746257,600.0,101Hotels,01.03.2023,БАЗА ОТДЫХА БАЙКАЛ-ЛИДЕР,,,290.0,5,13
Загородный комплекс Байкальская Резиденция,https://101hotels.com/main/cities/severobaykalsk/zagorodniy_kompleks_baykalskaya_rezidentsiya.html,"Северобайкальск, 4-км. трассы Северобайкальск-Байкальское",Северобайкальск,9.6,11.0,5.0,,55.58974,109.28171,4700.0,101Hotels,01.03.2023,ЗАГОРОДНЫЙ КОМПЛЕКС БАЙКАЛЬСКАЯ РЕЗИДЕНЦИЯ,ВЕЛИКОЛЕПНО,,126.0,17,79
База отдыха Дома на Байкале в Скандинавском стиле,https://101hotels.com/main/cities/ust-barguzin/doma_na_baykale_v_skandinavskom_stile.html,"Усть-Баргузин, пер. Кирова, д. 1",Усть-Баргузин,7.4,8.0,0.0,,53.40718,109.01809,1400.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ДОМА НА БАЙКАЛЕ В СКАНДИНАВСКОМ СТИЛЕ,ОЧЕНЬ ХОРОШО,,,2,61
Гостиница Вдохновение,https://101hotels.com/main/cities/huzhir/vdohnovenie.html,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Северная, д. 5",Хужир,8.3,28.0,0.0,3500.0,53.19609503364404,107.35,600.0,101Hotels,01.03.2023,ГОСТИНИЦА ВДОХНОВЕНИЕ,ОТЛИЧНО,,27500.0,55,288
Парк-Отель Байкальская ривьера,https://101hotels.com/main/cities/gremyachinsk/park-otel_baykalskaya_rivera.html,"Бурятия, Прибайкальский р-н, с. Гремячинск, ул. Лесная, д. 36",Гремячинск (Бурятия),9.3,44.0,3.0,4000.0,52.79262482190054,107.964,1500.0,101Hotels,01.03.2023,ПАРК-ОТЕЛЬ БАЙКАЛЬСКАЯ РИВЬЕРА,ВЕЛИКОЛЕПНО,,577.0,61,119
Гостиница Королевская Гавань,https://101hotels.com/main/cities/enheluk/gostevoy_dom_korolevskaya_gavan.html,"Бурятия, Кабанский р-н, п. Новый Энхалук, ул. Лесная, д. 4а",Энхалук,9.4,20.0,2.0,375.0,52.485965,106.972094,400.0,101Hotels,01.03.2023,ГОСТИНИЦА КОРОЛЕВСКАЯ ГАВАНЬ,ВЕЛИКОЛЕПНО,,355.0,16,73
Отель Ольхон,https://101hotels.com/main/cities/huzhir/kemping_olhon.html,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Байкальская, д. 64/1",Хужир,8.9,126.0,2.0,5000.0,53.194243,107.35403,700.0,101Hotels,01.03.2023,ОТЕЛЬ ОЛЬХОН,ОТЛИЧНО,,27200.0,28,14
Отель Флагман Листвянка,https://101hotels.com/main/cities/nikola/semeyniy_mini-otel_flagman.html,"Иркутский р-н, Листвянское м. о., п. Никола, ул. Нагорная, д. 41",Никола,8.7,42.0,0.0,5500.0,51.896418,104.829459,700.0,101Hotels,01.03.2023,ОТЕЛЬ ФЛАГМАН ЛИСТВЯНКА,ОТЛИЧНО,,2900.0,10,217
